iter	Passed	Remaining
0	97	97140
1	98	49317
2	99	33231
3	101	25249
4	102	20487
5	104	17253
6	105	14930
7	106	13214
8	108	11967
9	110	10928
10	111	10052
11	113	9321
12	114	8694
13	115	8152
14	117	7703
15	118	7297
16	119	6936
17	121	6637
18	123	6363
19	124	6104
20	126	5874
21	127	5658
22	128	5463
23	130	5287
24	131	5129
25	132	4969
26	133	4820
27	135	4720
28	137	4618
29	139	4512
30	141	4408
31	142	4310
32	144	4222
33	145	4125
34	146	4037
35	147	3954
36	149	3882
37	151	3827
38	152	3759
39	153	3689
40	155	3632
41	156	3575
42	157	3515
43	159	3459
44	160	3408
45	162	3359
46	163	3318
47	165	3279
48	166	3234
49	168	3194
50	169	3149
51	170	3105
52	171	3065
53	172	3027
54	174	2991
55	175	2952
56	176	2919
57	177	2890
58	179	2861
59	180	2832
60	182	2804
61	183	2775
62	184	2744
63	185	2714
64	186	2687
65	188	2660
66	189	2632
67	190	2605
68	191	2578
69	192	2555
70	193	2537
71	195	2516
72	196	2497
73	197	2476
74	199	2454
75	200	2434
76	201	2415
77	202	2393
78	203	2372
79	204	2351
80	205	2331
81	206	2313
82	207	2292
83	209	2283
84	210	2271
85	212	2254
86	213	2237
87	214	2222
88	215	2206
89	216	2191
90	217	2175
91	218	2160
92	219	2144
93	220	2129
94	222	2119
95	223	2108
96	225	2099
97	226	2088
98	228	2077
99	229	2064
100	230	2051
101	231	2040
102	232	2028
103	233	2015
104	235	2003
105	236	1990
106	237	1981
107	239	1974
108	240	1966
109	241	1956
110	243	1947
111	244	1938
112	245	1928
113	247	1920
114	248	1910
115	249	1901
116	250	1889
117	251	1881
118	253	1875
119	254	1869
120	256	1861
121	257	1851
122	258	1843
123	259	1835
124	261	1827
125	262	1820
126	263	1811
127	264	1804
128	266	1798
129	268	1794
130	269	1788
131	271	1782
132	272	1774
133	273	1767
134	274	1761
135	276	1754
136	277	1747
137	278	1741
138	280	1736
139	281	1731
140	283	1728
141	284	1721
142	286	1715
143	287	1709
144	289	1704
145	290	1697
146	291	1692
147	292	1685
148	293	1678
149	295	1673
150	296	1669
151	298	1664
152	299	1659
153	300	1652
154	301	1646
155	303	1639
156	304	1634
157	305	1630
158	307	1624
159	308	1618
160	309	1611
161	310	1608
162	312	1604
163	313	1600
164	315	1595
165	316	1589
166	317	1585
167	319	1581
168	320	1577
169	322	1572
170	323	1567
171	324	1563
172	326	1561
173	328	1559
174	329	1555
175	331	1550
176	332	1544
177	333	1539
178	334	1535
179	335	1530
180	337	1525
181	338	1520
182	339	1515
183	341	1512
184	342	1508
185	343	1504
186	344	1499
187	346	1494
188	347	1490
189	348	1485
190	349	1481
191	351	1478
192	352	1475
193	354	1471
194	355	1469
195	357	1467
196	359	1463
197	360	1460
198	361	1456
199	363	1452
200	364	1448
201	366	1446
202	367	1442
203	369	1440
204	371	1439
205	372	1437
206	374	1435
207	376	1432
208	377	1429
209	379	1426
210	380	1423
211	381	1419
212	383	1416
213	384	1413
214	386	1410
215	387	1407
216	389	1405
217	390	1401
218	391	1397
219	393	1394
220	394	1391
221	395	1387
222	396	1382
223	398	1379
224	400	1378
225	401	1376
226	403	1373
227	404	1370
228	405	1366
229	407	1363
230	408	1360
231	410	1357
232	411	1353
233	412	1349
234	413	1346
235	415	1344
236	416	1341
237	417	1337
238	419	1334
239	420	1330
240	421	1327
241	422	1324
242	423	1320
243	425	1317
244	426	1313
245	427	1311
246	429	1308
247	430	1305
248	431	1302
249	433	1299
250	434	1296
251	435	1293
252	436	1289
253	438	1286
254	439	1283
255	440	1279
256	441	1276
257	442	1273
258	444	1271
259	445	1269
260	447	1266
261	448	1263
262	449	1259
263	450	1257
264	452	1254
265	453	1250
266	454	1247
267	455	1243
268	456	1240
269	457	1238
270	459	1236
271	460	1233
272	462	1230
273	463	1227
274	464	1224
275	465	1221
276	466	1218
277	467	1215
278	469	1212
279	470	1209
280	471	1207
281	473	1204
282	474	1201
283	475	1198
284	476	1196
285	478	1193
286	479	1191
287	480	1188
288	481	1185
289	483	1182
290	484	1179
291	485	1176
292	486	1173
293	487	1171
294	489	1170
295	491	1168
296	492	1166
297	494	1164
298	495	1162
299	497	1159
300	498	1157
301	499	1155
302	501	1152
303	502	1150
304	504	1148
305	505	1146
306	506	1143
307	508	1141
308	509	1139
309	510	1136
310	512	1134
311	513	1132
312	515	1130
313	516	1128
314	518	1127
315	519	1125
316	521	1122
317	522	1120
318	524	1118
319	525	1116
320	526	1113
321	528	1111
322	529	1110
323	531	1108
324	532	1106
325	534	1104
326	535	1102
327	537	1100
328	538	1098
329	540	1096
330	541	1094
331	542	1092
332	544	1090
333	545	1088
334	547	1086
335	548	1084
336	550	1082
337	551	1080
338	552	1078
339	554	1075
340	555	1072
341	556	1070
342	558	1069
343	559	1066
344	560	1064
345	561	1062
346	563	1060
347	564	1057
348	565	1055
349	566	1052
350	568	1050
351	569	1048
352	571	1046
353	572	1044
354	573	1041
355	574	1039
356	576	1038
357	578	1037
358	579	1035
359	581	1033
360	582	1031
361	583	1029
362	585	1026
363	586	1025
364	588	1023
365	589	1021
366	591	1019
367	592	1017
368	594	1015
369	595	1013
370	596	1011
371	597	1009
372	599	1007
373	600	1005
374	601	1003
375	602	1000
376	603	997
377	605	996
378	606	994
379	608	992
380	609	990
381	610	988
382	611	985
383	613	983
384	614	981
385	615	978
386	616	976
387	617	974
388	618	971
389	620	970
390	621	968
391	623	967
392	624	965
393	626	963
394	627	960
395	628	958
396	629	956
397	630	954
398	632	952
399	633	949
400	634	948
401	636	946
402	637	945
403	639	943
404	640	940
405	641	938
406	643	936
407	644	934
408	645	932
409	646	930
410	647	928
411	649	926
412	650	924
413	652	922
414	653	920
415	654	918
416	655	916
417	656	914
418	657	912
419	658	909
420	660	907
421	661	905
422	662	903
423	663	901
424	665	899
425	666	898
426	667	895
427	669	894
428	670	891
429	671	889
430	672	887
431	673	885
432	674	883
433	675	881
434	677	879
435	678	878
436	680	876
437	681	874
438	682	872
439	683	870
440	684	867
441	685	865
442	686	863
443	687	861
444	688	859
445	690	857
446	691	855
447	692	853
448	693	851
449	695	849
450	696	847
451	697	845
452	698	843
453	699	841
454	700	839
455	701	837
456	702	834
457	703	832
458	704	830
459	705	828
460	707	826
461	708	824
462	709	823
463	711	821
464	712	819
465	713	817
